"id","nombre","keywords","horario","preciosimbolo","calificacion","top1","top2","link","comida","servicio","calidad","ambiente","detalles_precios","detalles_tipo_comida","detalles_comida","detalles_dietas","detalles_caracteristicas","direccion","mail","telefono","calle","pais","localidad","direccionextra","longitude","latitude","n_opiniones","opiniones_excelente","opiniones_muy_bueno","opiniones_regular","opiniones_pesimo","opiniones_malo"
11,"Mamut Cerveza Artesanal","cerveza","","$$ - $$$","4.5","**N.º 5** de 31 Bar en Tijuana","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150776-d8418164-Reviews-Mamut_Cerveza_Artesanal-Tijuana_Baja_California.html","45","40","45","0","-","Bar, Pizzería, Pub","Cena","-","Asiento, Sirve alcohol","Calle Tercera # 27 Located at Pasaje Rodriguez, Tijuana 22400 México","","+52 664 685 0137","Calle Tercera # 27","México","Tijuana 22400,","Located at Pasaje Rodriguez","-117.037674","32.533932",27,15,8,2,1,0
12,"La Pintada","cerveza","Ver todos los horarios","$$ - $$$","4.5"," **N.º 23** de 298 Mexicana en Cabo San Lucas","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g152515-d7855893-Reviews-La_Pintada-Cabo_San_Lucas_Los_Cabos_Baja_California.html","45","45","45","0","-","Mexicana, Pizzería, Internacional","Almuerzo, Cena","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Boulevard Lazaro Cardenas, Cabo San Lucas 23450 México","gerencia@lapintada.mx","+52 624 105 0163","Boulevard Lazaro Cardenas","México","Cabo San Lucas 23450,","","-109.909897","22.88994",212,100,29,4,2,2
13,"La Borrasca","cerveza","8:00 - 23:00","$$ - $$$","4.5"," **N.º 2** de 37 Mexicana en Ciudad Valles","Certificado de ExcelenciaGanador en 2016 - 2017","https://www.tripadvisor.com.mx//Restaurant_Review-g499409-d6523325-Reviews-La_Borrasca-Ciudad_Valles_Central_Mexico_and_Gulf_Coast.html","45","45","50","0","$118 - $353","Mexicana, Pub, Cervecería, Gastropub","Cena, Desayuno, Almuerzo","-","-","Calle Manuel Jose Othon 6-B Colonia Obrera, Ciudad Valles 79050 México","laborrasca_cdvalles@hotmail.com","+52 481 381 0329","Calle Manuel Jose Othon 6-B","México","Ciudad Valles 79050,","Colonia Obrera","-99.009697","21.987055",89,62,16,10,0,0
14,"Maro's Shrimp House","cerveza","Ver todos los horarios","$$ - $$$","4.5"," **N.º 41** de 298 Mexicana en Cabo San Lucas","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g152515-d1210576-Reviews-Maro_s_Shrimp_House-Cabo_San_Lucas_Los_Cabos_Baja_California.html","45","45","45","45","$236 - $353","Mexicana, Estadounidense, Mariscos","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Av. Hildago St./N. Across from La Dolce Restuarant, Cabo San Lucas 28262
México","","+52 624 355 8060","Av. Hildago St./N. Across from La Dolce Restuarant","México","Cabo San Lucas 28262,","","-109.913658","22.882025",4961,2489,668,226,60,34
15,"Cerveceria la Blanca","cerveza","Ver todos los horarios","$$ - $$$","4.5"," **N.º 25** de 80 Bar en Guadalajara","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150798-d5964632-Reviews-Cerveceria_la_Blanca-Guadalajara_Guadalajara_Metropolitan_Area.html","30","40","35","0","-","Bar, Pizzería","Almuerzo, Cena","-","Servicio de mesa","Calle Lope de Vega 127, Guadalajara 44130 México","","+52 33 3616 8909","Calle Lope de Vega 127","México","Guadalajara 44130,","","-103.379921","20.672649",22,12,6,3,0,1
16,"Sierra madre brewing co.","cerveza","","$$ - $$$","4","**N.º 1** de 1 Bar en Reynosa","-","https://www.tripadvisor.com.mx//Restaurant_Review-g499440-d4604309-Reviews-Sierra_madre_brewing_co-Reynosa_Northern_Mexico.html","40","40","40","40","-","Bar, Pub","Almuerzo, Cena, Brunch","Apto para vegetarianos","-","Plaza real, Reynosa México","","","Plaza real","México","Reynosa,","","-98.292282","26.10951",90,22,45,19,0,0
17,"Bashir & Co.","cerveza","Ver todos los horarios","$$ - $$$","4.5"," **N.º 1** de 5 Cervecería en Tequisquiapan","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g1101793-d7072011-Reviews-Bashir_Co-Tequisquiapan_Central_Mexico_and_Gulf_Coast.html","45","45","45","45","$90 - $190","Pizzería, Cervecería","-","Apto para vegetarianos","-","20 de noviembre 2A, Tequisquiapan 76750 México","","+52 414 280 8099","20 de noviembre 2A","México","Tequisquiapan 76750,","","-99.892174","20.522928",152,103,22,15,1,4
18,"The Surfin Burrito","cerveza","0:00 - 23:59","$","4.5"," **N.º 36** de 483 Mexicana en Cancún","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150807-d2013926-Reviews-The_Surfin_Burrito-Cancun_Yucatan_Peninsula.html","45","45","45","45","$1,861 - $3,981","Mexicana, Latina","-","Apto para vegetarianos, Opciones veganas","-","Kukulcan Blvd. Km 9.5, Cancún 77500 México","","+52 998 883 0083","Kukulcan Blvd. Km 9.5","México","Cancún 77500,","","-86.749809","21.130011",1751,803,254,70,23,28
19,"McCarthy's Irish Pub","cerveza","","-","3","**N.º 1** de 1 Irlandesa en Aguascalientes","-","https://www.tripadvisor.com.mx//Restaurant_Review-g153976-d13564594-Reviews-McCarthy_s_Irish_Pub-Aguascalientes_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","-","Irlandesa, Bar, Pub","-","-","-","Boulevard a Zacatecas 845 Centro Comercial Punto 45, Aguascalientes 20126
México","","+52 222 230 2742","Boulevard a Zacatecas 845","México","Aguascalientes 20126,","Centro Comercial Punto 45","-102.292007","21.908758",6,1,1,1,2,1
20,"Blue Lobster","cerveza","11:00 - 23:15","$$ - $$$","4.5"," **N.º 15** de 57 Caribeña en Playa del Carmen","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150812-d1050325-Reviews-Blue_Lobster-Playa_del_Carmen_Yucatan_Peninsula.html","45","45","40","45","$353 - $824","Caribeña, Mariscos","-","Apto para vegetarianos, Opciones sin gluten","-","12th Street and 5th Avenue, Playa del Carmen México","info@bluelobster.com.mx","+52 984 873 1360","12th Street and 5th Avenue","México","Playa del Carmen,","","-87.071457","20.627491",1674,604,279,84,37,22
21,"La Nacional","cerveza","Ver todos los horarios","$$ - $$$","4"," **N.º 853** de 2,114 Mexicana en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d6855344-Reviews-La_Nacional-Mexico_City_Central_Mexico_and_Gulf_Coast.html","45","45","40","0","-","Mexicana","Cena, Bebidas","-","Servicio de mesa, Reservaciones, Asiento","Calle Orizaba 161 Local 3, Ciudad de México 06700 México","","+52 55 5264 3106","Calle Orizaba 161","México","Ciudad de México 06700,","Local 3","-99.160973","19.423309",16,5,5,2,2,0
22,"Restaurant La Cabaña","cerveza","7:30 - 21:30","$$ - $$$","4"," **N.º 1** de 10 Mexicana en Creel","Certificado de ExcelenciaGanador en 2018 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g1027238-d3333649-Reviews-Restaurant_La_Cabana-Creel_Copper_Canyon_Northern_Mexico.html","40","45","40","40","$94 - $330","Mexicana, Internacional","Desayuno, Almuerzo, Cena, Brunch, Abierto hasta tarde","-","-","Calle Lopez Mateos #36, Creel 33200 México","restaurantelacabana1@outlook.com","+52 635 456 0664","Calle Lopez Mateos #36","México","Creel 33200,","","-107.634422","27.751411",404,155,107,55,16,15
23,"Pizza Amore","cerveza","11:00 - 22:00","$","3.5"," **N.º 174** de 425 Italiana en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d1176858-Reviews-Pizza_Amore-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","35","40","35","-","Italiana, Pizzería","Almuerzo, Cena","-","Entrega a domicilio, Comida para llevar, Asiento","Michoacan 78 Condesa, Ciudad de México México","","+52 55 8579 4637","Michoacan 78","México","Ciudad de México,","Condesa","-99.145584","19.434872",64,11,18,13,3,8
24,"Yucca","cerveza","Ver todos los horarios","$$ - $$$","3.5"," **N.º 9** de 22 Cervecería en San Luis Potosí","-","https://www.tripadvisor.com.mx//Restaurant_Review-g153477-d10454454-Reviews-Yucca-San_Luis_Potosi_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","-","Cervecería, Pub","Cena","-","-","Pascual M Hernádez 315 Zona Centro, San Luis Potosí 78000 México","","+52 444 521 3051","Pascual M Hernádez 315","México","San Luis Potosí 78000,","Zona Centro","-100.980339","22.14603",6,1,2,3,0,0
25,"Pizzanchela","cerveza","Ver todos los horarios","$$ - $$$","4"," **N.º 1** de 2 Pizzería en Mineral de Pozos","Certificado de ExcelenciaGanador en 2017 - 2018","https://www.tripadvisor.com.mx//Restaurant_Review-g1026478-d6419859-Reviews-Pizzanchela-Mineral_de_Pozos_Central_Mexico_and_Gulf_Coast.html","45","40","45","0","-","Pizzería","Cena, Almuerzo","Apto para vegetarianos","-","Paza Zaragoza No 11, Mineral de Pozos México","","+52 442 293 0205","Paza Zaragoza No 11","México","Mineral de Pozos,","","-100.495728","21.22476",60,26,21,6,3,3
26,"La Insurgente","cerveza","Ver todos los horarios","$$ - $$$","3.5"," **N.º 149** de 433 Mexicana en Guadalajara","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150798-d6003191-Reviews-La_Insurgente-Guadalajara_Guadalajara_Metropolitan_Area.html","35","35","40","45","-","Mexicana","Almuerzo, Cena, Bebidas","-","Reservaciones, Asiento, Servicio de mesa","Chapultepec, Guadalajara México","","36156083","Chapultepec","México","Guadalajara,","","-103.368805","20.675089",42,12,18,2,3,5
27,"Boruca Restaurant & Sports Bar","cerveza","12:00 - 2:00","$$ - $$$","4"," **N.º 5** de 17 Mexicana en Monclova","Certificado de ExcelenciaGanador en 2017","https://www.tripadvisor.com.mx//Restaurant_Review-g499437-d4313509-Reviews-Boruca_Restaurant_Sports_Bar-Monclova_Northern_Mexico.html","45","40","45","0","-","Estadounidense, Internacional, Mexicana, Bar, Mariscos, Pub","Almuerzo, Cena","-","Entrega a domicilio, Reservaciones, Televisión, Sillitas altas disponibles,
Bar completo, Asiento, Estacionamiento disponible, Vino y cerveza, Acepta
American Express, Acepta Mastercard, Acepta Visa, Wi-Fi gratis, Comida para
llevar, Asientos al aire libre, Acceso para silla de ruedas, Sirve alcohol,
Acepta tarjetas de crédito, Servicio de mesa","Boulevard Harold R.Pape 1629 Colonia Santa Mónica, Monclova 25720 México","","+52 866 105 2888","Boulevard Harold R.Pape 1629","México","Monclova 25720,","Colonia Santa Mónica","-101.417519","26.928549",66,26,21,10,1,2
28,"La Playita Restaurante Bar Cancun","cerveza","11:00 - 2:00","$$ - $$$","4"," **N.º 109** de 483 Mexicana en Cancún","Certificado de ExcelenciaGanador en 2017, 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150807-d4101386-Reviews-La_Playita_Restaurante_Bar_Cancun-Cancun_Yucatan_Peninsula.html","45","40","45","45","-","Mexicana, Bar, Mariscos, Latina","Almuerzo, Cena, Bebidas","-","Comida para llevar, Reservaciones, Asientos al aire libre, Asiento,
Estacionamiento disponible, Televisión, Acceso para silla de ruedas, Sirve
alcohol, Acepta Mastercard, Acepta Visa, Wi-Fi gratis, Bar completo, Acepta
tarjetas de crédito, Servicio de mesa","Av. Bonampak Local 1 Sm. 4 Mz. 10 Lote 60 Frente De La Plaza De Toros, Cancún
77500 México","","+52 8984015","Av. Bonampak Local 1 Sm. 4 Mz. 10 Lote 60","México","Cancún 77500,","Frente De La Plaza De Toros","-86.821732","21.149797",238,93,50,15,9,20
29,"Manglar","cerveza","12:00 - 2:00","$","4"," **N.º 20** de 174 Mexicana en Morelia","-","https://www.tripadvisor.com.mx//Restaurant_Review-g152771-d8638362-Reviews-Manglar-Morelia_Central_Mexico_and_Gulf_Coast.html","40","35","35","0","-","Bar, Mexicana, Mariscos","Almuerzo, Abierto hasta tarde, Bebidas, Cena","-","Comida para llevar, Reservaciones, Asientos al aire libre, Asiento, Sirve
alcohol, Bar completo, Acepta Mastercard, Acepta Visa, Wi-Fi gratis, Servicio
de mesa, Acepta tarjetas de crédito","Bartolome De Las Casas 600 Entre Isidro Huarte y Fray Diego Jose Abad, Morelia
58000 México","manglarbar@gmail.com","+52 443 317 6164","Bartolome De Las Casas 600","México","Morelia 58000,","Entre Isidro Huarte y Fray Diego Jose Abad","-101.183952","19.701986",42,9,24,7,0,0
30,"La Inombrable Cantina","cerveza","Ver todos los horarios","$$ - $$$","4"," **N.º 192** de 553 Mexicana en Playa del Carmen","Certificado de ExcelenciaGanador en 2017","https://www.tripadvisor.com.mx//Restaurant_Review-g150812-d9602762-Reviews-Restaurante_La_Inombrable-Playa_del_Carmen_Yucatan_Peninsula.html","40","40","40","0","$5 - $100","Mexicana, Contemporánea","Cena, Abierto hasta tarde, Bebidas, Almuerzo","-","-","Mza 007 Av. Petempich Plaza Punto 115 Local 3 Y 4 Fracc. Los Olivos, Playa del
Carmen 77711 México","inombrableplayadelcarmen@gmail.com","+52 984 688 3770","Mza 007 Av. Petempich","México","Playa del Carmen 77711,","Plaza Punto 115 Local 3 Y 4 Fracc. Los Olivos","-87.077057","20.661179",49,26,10,7,3,1
31,"Taco City","cerveza","Ver todos los horarios","$$ - $$$","3.5"," **N.º 356** de 553 Mexicana en Playa del Carmen","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150812-d9702350-Reviews-Taco_City-Playa_del_Carmen_Yucatan_Peninsula.html","40","40","35","0","$16 - $280","Mexicana","Almuerzo, Cena","-","-","Ave. 115, Playa del Carmen 77712 México","tacocitygrillandrock@hotmail.com","+52 984 206 1830","Ave. 115","México","Playa del Carmen 77712,","","-87.091408","20.641079",27,10,2,6,2,2
32,"Petunia's New York Gourmet Dogs","cerveza","Ver todos los horarios","$$ - $$$","3.5"," **N.º 17** de 57 Comida rápida en Monterrey","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150782-d6638989-Reviews-Petunia_s_New_York_Gourmet_Dogs-Monterrey_Northern_Mexico.html","35","35","35","0","-","Comida rápida","Cena, Almuerzo","-","Comida para llevar, Servicio de mesa","Plaza Miravalle. Av. San Jeronimo 960 L-16, Monterrey 64640 México","","+52 81 1359 5389","Plaza Miravalle. Av. San Jeronimo 960 L-16","México","Monterrey 64640,","","-100.363403","25.67417",29,7,10,10,0,2
33,"Cerveceria De Barrio San Agustin","cerveza","12:00 - 2:00","$$ - $$$","4"," **N.º 61** de 122 Mexicana en San Pedro Garza García","-","https://www.tripadvisor.com.mx//Restaurant_Review-g1154799-d4035238-Reviews-Cerveceria_de_Barrio_San_Agustin-San_Pedro_Garza_Garcia_Monterrey_Northern_Mexic.html","40","35","40","0","$471 - $824","Mexicana, Bar, Mariscos, Fusión","Almuerzo, Cena","-","-","Batallon De San Patricio 1000 L-SA-1 Col, San Pedro Garza García, Monterrey
66260 México","ventas@bysofa.com","+52 81 8363 4662","Batallon De San Patricio 1000","México","San Pedro Garza García, Monterrey 66260,","L-SA-1 Col","-100.332657","25.64591",17,4,8,3,1,0
34,"El Papalote Taco & Grill Tampico","cerveza","Ver todos los horarios","$$ - $$$","3.5"," **N.º 29** de 75 Mexicana en Tampico","-","https://www.tripadvisor.com.mx//Restaurant_Review-g151928-d3475626-Reviews-El_Papalote_Taco_Grill_Tampico-Tampico_Northern_Mexico.html","35","35","35","0","$100 - $350","Parrilla, Mexicana","Abierto hasta tarde, Bebidas, Almuerzo, Cena","-","-","Avenida Miguel Hidalgo y Costilla # 5103 Colonia Lomas De La Aurora, Tampico
89100 México","","+52 833 132 4900","Avenida Miguel Hidalgo y Costilla # 5103","México","Tampico 89100,","Colonia Lomas De La Aurora","-97.873558","22.269659",30,5,8,12,3,0
35,"Santo Bagel","cerveza","","$","4.5","**N.º 7** de 9 Panaderías y pastelerías en Guadalajara","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150798-d8571292-Reviews-Santo_Bagel-Guadalajara_Guadalajara_Metropolitan_Area.html","0","0","0","0","$49 - $79","-","-","-","-","Calle Marsella 139, Guadalajara 44160 México","santobagel@hotmail.com","+52 33 1983 5456","Calle Marsella 139","México","Guadalajara 44160,","","-103.370483","20.674101",4,2,2,0,0,0
36,"Van Gogh Restaurant Bar & café","cerveza","10:00 - 2:00","$$ - $$$","3"," **N.º 127** de 137 Mexicana en Guanajuato","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150799-d3892897-Reviews-Van_Gogh_Restaurant_Bar_Cafe-Guanajuato_Central_Mexico_and_Gulf_Coast.html","25","30","25","30","$38 - $205","Latina, Bar, Internacional, Mexicana","Almuerzo, Abierto hasta tarde","-","-","Jardin Union Num. 4, Guanajuato 36000 México","laeo64@gmail.com","+52 473 732 0908","Jardin Union Num. 4","México","Guanajuato 36000,","","-101.252998","21.015827",206,29,40,35,31,43
37,"Burger Nation","cerveza","Ver todos los horarios","$$ - $$$","4"," **N.º 21** de 36 Estadounidense en San Pedro Garza García","-","https://www.tripadvisor.com.mx//Restaurant_Review-g1154799-d4310808-Reviews-Burger_Nation-San_Pedro_Garza_Garcia_Monterrey_Northern_Mexico.html","40","40","40","0","$150 - $500","Estadounidense, Comida rápida","Cena, Almuerzo","-","-","Avenida Gomez Morin # 100 Colonia Carrizalejo, San Pedro Garza García,
Monterrey 66295 México","burgernationmx@gmail.com","+52 81 8303 1403","Avenida Gomez Morin # 100","México","San Pedro Garza García, Monterrey 66295,","Colonia Carrizalejo","-100.363808","25.635109",30,9,11,7,2,1
38,"Bennigan's","cerveza","12:00 - 12:00","$$ - $$$","4"," **N.º 1** de 2 Estadounidense en Matamoros","-","https://www.tripadvisor.com.mx//Restaurant_Review-g499436-d1219233-Reviews-Bennigan_s-Matamoros_Northern_Mexico.html","40","40","35","0","-","Estadounidense, Bar, Pub","Cena","-","Servicio de mesa, Comida para llevar, Reservaciones, Asiento, Sirve alcohol","Av. Pedro Cardenas, Matamoros México","","","Av. Pedro Cardenas","México","Matamoros,","","-97.511887","25.829679",39,18,8,3,4,2
39,"Schwenker Tulum","cerveza","Ver todos los horarios","$","5"," **N.º 53** de 60 Italiana en Tulum","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150813-d14809640-Reviews-Schwenker_Tulum-Tulum_Yucatan_Peninsula.html","0","0","0","0","-","Italiana, Estadounidense, Alemana, Asiática, Argentina, Sudamericana","Cena, Abierto hasta tarde, Bebidas","-","Entrega a domicilio, Comida para llevar, Reservaciones, Asientos al aire
libre, Restaurante privado, Asiento, Estacionamiento disponible,
Estacionamiento en la calle, Estacionamiento privado gratis, Televisión,
Acceso para silla de ruedas, Sirve alcohol, Vino y cerveza, Wi-Fi gratis,
Acepta tarjetas de crédito","Andromeda Oriente MZ14 LT27C entre calle Orion Sur y Calle Centauro Sur, Tulum
77760 México","Schwenkertulum@gmail.com","+52 984 100 1924","Andromeda Oriente MZ14 LT27C","México","Tulum 77760,","entre calle Orion Sur y Calle Centauro Sur","-87.459991","20.211159",3,3,0,0,0,0
40,"Cucapá Brewing Co","cerveza","","$$ - $$$","5","**N.º 43** de 80 Bar en Guadalajara","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150798-d15091587-Reviews-Cucapa_Brewing_Co-Guadalajara_Guadalajara_Metropolitan_Area.html","0","0","0","0","$100 - $200","Bar, Pub","-","-","-","Calle Juárez 144, Centro, Guadalajara 03900 México","cucapagm@gmail.com","5236598803","Calle Juárez 144, Centro","México","Guadalajara 03900,","","-104.03894","20.190411",3,3,0,0,0,0
41,"Pizza Amore","cerveza","","$","4.5","**N.º 2,828** de 4,995 Restaurantes en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d7134716-Reviews-Pizza_Amore-Mexico_City_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","-","-","Cena","-","-","Florence Local 44 A1, Ciudad de México 06600 México","","5533 2667","Florence Local 44 A1","México","Ciudad de México 06600,","","-99.292931","19.386061",7,3,2,0,1,0
