"id","nombre","keywords","horario","calificacion","top1","top2","link","comida","servicio","calidad","ambiente","detalles_precios","detalles_tipo_comida","detalles_comida","detalles_dietas","detalles_caracteristicas","direccion","mail","telefono","calle","pais","localidad","direccionextra","longitude","latitude","n_opiniones","opiniones_excelente","opiniones_muy_bueno","opiniones_regular","opiniones_pesimo","opiniones_malo"
11,"Santo Bagel","cerveza","","4.5","**N.º 7** de 9 Panaderías y pastelerías en Guadalajara","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150798-d8571292-Reviews-Santo_Bagel-Guadalajara_Guadalajara_Metropolitan_Area.html","0","0","0","0","$49 - $79","-","-","-","-","Calle Marsella 139, Guadalajara 44160 México","santobagel@hotmail.com","+52 33 1983 5456","Calle Marsella 139","México","Guadalajara 44160,","","-103.370483","20.674101",4,2,2,0,0,0
12,"El Papalote Taco & Grill Tampico","cerveza","Ver todos los horarios","3.5"," **N.º 29** de 75 Mexicana en Tampico","-","https://www.tripadvisor.com.mx//Restaurant_Review-g151928-d3475626-Reviews-El_Papalote_Taco_Grill_Tampico-Tampico_Northern_Mexico.html","35","35","35","0","$100 - $350","Parrilla, Mexicana","Abierto hasta tarde, Bebidas, Almuerzo, Cena","-","-","Avenida Miguel Hidalgo y Costilla # 5103 Colonia Lomas De La Aurora, Tampico
89100 México","","+52 833 132 4900","Avenida Miguel Hidalgo y Costilla # 5103","México","Tampico 89100,","Colonia Lomas De La Aurora","-97.873558","22.269659",30,5,8,12,3,0
13,"Van Gogh Restaurant Bar & café","cerveza","10:00 - 2:00","3"," **N.º 127** de 137 Mexicana en Guanajuato","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150799-d3892897-Reviews-Van_Gogh_Restaurant_Bar_Cafe-Guanajuato_Central_Mexico_and_Gulf_Coast.html","25","30","25","30","$38 - $205","Latina, Bar, Internacional, Mexicana","Almuerzo, Abierto hasta tarde","-","-","Jardin Union Num. 4, Guanajuato 36000 México","laeo64@gmail.com","+52 473 732 0908","Jardin Union Num. 4","México","Guanajuato 36000,","","-101.252998","21.015827",206,29,40,35,31,43
14,"Petunia's New York Gourmet Dogs","cerveza","Ver todos los horarios","3.5"," **N.º 17** de 57 Comida rápida en Monterrey","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150782-d6638989-Reviews-Petunia_s_New_York_Gourmet_Dogs-Monterrey_Northern_Mexico.html","35","35","35","0","-","Comida rápida","Cena, Almuerzo","-","Comida para llevar, Servicio de mesa","Plaza Miravalle. Av. San Jeronimo 960 L-16, Monterrey 64640 México","","+52 81 1971 0297","Plaza Miravalle. Av. San Jeronimo 960 L-16","México","Monterrey 64640,","","-100.363403","25.67417",29,7,10,10,0,2
15,"Taco City","cerveza","13:00 - 1:00","3.5"," **N.º 356** de 554 Mexicana en Playa del Carmen","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150812-d9702350-Reviews-Taco_City-Playa_del_Carmen_Yucatan_Peninsula.html","40","40","35","0","$16 - $280","Mexicana","Almuerzo, Cena","-","-","Ave. 115, Playa del Carmen 77712 México","tacocitygrillandrock@hotmail.com","+52 984 206 1830","Ave. 115","México","Playa del Carmen 77712,","","-87.091408","20.641079",27,10,2,6,2,2
16,"Schwenker Tulum","cerveza","Ver todos los horarios","5"," **N.º 53** de 60 Italiana en Tulum","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150813-d14809640-Reviews-Schwenker_Tulum-Tulum_Yucatan_Peninsula.html","0","0","0","0","-","Italiana, Estadounidense, Alemana, Asiática, Argentina, Sudamericana","Cena, Abierto hasta tarde, Bebidas","-","Entrega a domicilio, Comida para llevar, Reservaciones, Asientos al aire
libre, Restaurante privado, Asiento, Estacionamiento disponible,
Estacionamiento en la calle, Estacionamiento privado gratis, Televisión,
Acceso para silla de ruedas, Sirve alcohol, Vino y cerveza, Wi-Fi gratis,
Acepta tarjetas de crédito","Andromeda Oriente MZ14 LT27C entre calle Orion Sur y Calle Centauro Sur, Tulum
77760 México","Schwenkertulum@gmail.com","+52 984 100 1924","Andromeda Oriente MZ14 LT27C","México","Tulum 77760,","entre calle Orion Sur y Calle Centauro Sur","-87.459991","20.211159",3,3,0,0,0,0
17,"Burger Nation","cerveza","13:00 - 23:00","4"," **N.º 21** de 36 Estadounidense en San Pedro Garza García","-","https://www.tripadvisor.com.mx//Restaurant_Review-g1154799-d4310808-Reviews-Burger_Nation-San_Pedro_Garza_Garcia_Monterrey_Northern_Mexico.html","40","40","40","0","$150 - $500","Estadounidense, Comida rápida","Cena, Almuerzo","-","-","Avenida Gomez Morin # 100 Colonia Carrizalejo, San Pedro Garza García,
Monterrey 66295 México","burgernationmx@gmail.com","+52 81 8303 1403","Avenida Gomez Morin # 100","México","San Pedro Garza García, Monterrey 66295,","Colonia Carrizalejo","-100.363808","25.635109",30,9,11,7,2,1
18,"Bennigan's","cerveza","12:00 - 12:00","4"," **N.º 1** de 2 Estadounidense en Matamoros","-","https://www.tripadvisor.com.mx//Restaurant_Review-g499436-d1219233-Reviews-Bennigan_s-Matamoros_Northern_Mexico.html","40","40","35","0","-","Estadounidense, Bar, Pub","Cena","-","Servicio de mesa, Comida para llevar, Reservaciones, Asiento, Sirve alcohol","Av. Pedro Cardenas, Matamoros México","","","Av. Pedro Cardenas","México","Matamoros,","","-97.511887","25.829679",39,18,8,3,4,2
19,"Pizza Amore","cerveza","","4.5","**N.º 2,826** de 4,990 Restaurantes en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d7134716-Reviews-Pizza_Amore-Mexico_City_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","-","-","Cena","-","-","Florence Local 44 A1, Ciudad de México 06600 México","","5533 2667","Florence Local 44 A1","México","Ciudad de México 06600,","","-99.292931","19.386061",7,3,2,0,1,0
20,"Kings Pub Plaza Loreto","cerveza","13:00 - 1:00","3.5"," **N.º 143** de 301 Pub en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d4727115-Reviews-Kings_Pub_Plaza_Loreto-Mexico_City_Central_Mexico_and_Gulf_Coast.html","35","35","35","0","-","Pub","Cena","-","Servicio de mesa, Reservaciones, Asiento","Altamirano 46, Plaza Loreto, Ciudad de México México","","56166920","Altamirano 46, Plaza Loreto","México","Ciudad de México,","","-99.194511","19.339186",19,3,8,3,1,2
21,"The Thirsty Cougar","cerveza","9:00 - 0:00","4.5"," **N.º 17** de 225 Mexicana en Cozumel","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150809-d2508954-Reviews-The_Thirsty_Cougar-Cozumel_Yucatan_Peninsula.html","45","45","45","45","$234 - $702","Mariscos, Mexicana, Caribeña","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Rafael Melgar, Cozumel 77600 México","AlgoFrescoMX@Gmail.com","+52 987 869 0214","Rafael Melgar","México","Cozumel 77600,","","-86.952049","20.508871",677,316,105,17,4,5
22,"Ruben's Restaurant Isla Mujeres","cerveza","8:00 - 21:00","4.5"," **N.º 15** de 132 Mexicana en Isla Mujeres","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150810-d6495942-Reviews-Ruben_s_Restaurant_Isla_Mujeres-Isla_Mujeres_Yucatan_Peninsula.html","45","45","45","40","-","Mexicana","Desayuno, Almuerzo, Cena, Brunch, Abierto hasta tarde","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Avenida Vicente Guerrero, 18 About 2 Blocks From North Beach, Isla Mujeres
77440 México","rubenchavez_77@hotmail.com","+52 998 127 8470","Avenida Vicente Guerrero, 18","México","Isla Mujeres 77440,","About 2 Blocks From North Beach","-86.749359","21.25865",1828,951,204,61,12,11
23,"La Reynita","cerveza","13:00 - 23:00","4"," **N.º 14** de 122 Mexicana en San Pedro Garza García","Certificado de ExcelenciaGanador en 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g1154799-d12557580-Reviews-La_Reynita-San_Pedro_Garza_Garcia_Monterrey_Northern_Mexico.html","45","40","40","0","$75 - $650","Mexicana, Latina, Fusión, Comida de calle","Cena, Almuerzo, Abierto hasta tarde, Bebidas","-","-","Av Lázaro Cárdenas, Residencial San Agustín 1er Sector Fashion Drive, San
Pedro Garza García, Monterrey 66260 México","","+52 81 8298 4545","Av Lázaro Cárdenas, Residencial San Agustín 1er Sector","México","San Pedro Garza García, Monterrey 66260,","Fashion Drive","-100.334091","25.651239",87,32,30,10,2,2
24,"La Faena Museo Turino","cerveza","","3.5","**N.º 2,156** de 4,990 Restaurantes en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d9834481-Reviews-La_Faena_Museo_Turino-Mexico_City_Central_Mexico_and_Gulf_Coast.html","35","35","45","0","-","-","-","-","-","Calle Venustiano Carranza 49-B, Ciudad de México 06000 México","","55104417","Calle Venustiano Carranza 49-B","México","Ciudad de México 06000,","","-99.137718","19.431271",19,3,6,6,2,0
25,"La Faena Museo Turino","cerveza","","3.5","**N.º 2,156** de 4,990 Restaurantes en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d9834481-Reviews-La_Faena_Museo_Turino-Mexico_City_Central_Mexico_and_Gulf_Coast.html","35","35","45","0","-","-","-","-","-","Calle Venustiano Carranza 49-B, Ciudad de México 06000 México","","55104417","Calle Venustiano Carranza 49-B","México","Ciudad de México 06000,","","-99.137718","19.431271",19,3,6,6,2,0
26,"La Chaya Maya","cerveza","7:00 - 23:00","4.5"," **N.º 20** de 335 Mexicana en Mérida","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150811-d6852956-Reviews-La_Chaya_Maya-Merida_Yucatan_Peninsula.html","45","45","45","40","-","Mexicana, Latina","Desayuno, Almuerzo, Cena, Brunch, Abierto hasta tarde","Apto para vegetarianos","-","Calle 55 x 60 y 62 Sucursal Centro, Mérida 97000 México","contacto@lachayamaya.com","+52 999 928 4780","Calle 55 x 60 y 62","México","Mérida 97000,","Sucursal Centro","-89.623169","20.97098",7284,3236,1598,527,156,80
27,"El Camello","cerveza","Ver todos los horarios","4.5"," **N.º 43** de 283 Mexicana en Tulum","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150813-d1952766-Reviews-El_Camello-Tulum_Yucatan_Peninsula.html","45","40","45","35","-","Mexicana, Caribeña, Latina, Mariscos","Almuerzo, Cena, Abierto hasta tarde","Opciones sin gluten","-","Avenida Tulum & Luna Sur, Tulum México","","+52 984 871 2036","Avenida Tulum & Luna Sur","México","Tulum,","","-87.471542","20.208246",2431,867,435,134,46,30
28,"El Patio Casa de la Música","cerveza","16:30 - 0:00","4.5"," **N.º 32** de 132 Mexicana en Isla Mujeres","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150810-d1895661-Reviews-El_Patio_Casa_De_La_Musica-Isla_Mujeres_Yucatan_Peninsula.html","45","45","40","45","$100 - $200","Mexicana, Caribeña, Bar, Internacional","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Avenida Miguel Hidalgo # 7 On Av. Hidalgo between Abasolo x Matamoros, Colonia
Centro, Isla Mujeres 77400 México","elpatiohouseofmusic@gmail.com","+1 207-514-3385","Avenida Miguel Hidalgo # 7","México","Isla Mujeres 77400,","On Av. Hidalgo between Abasolo x Matamoros, Colonia Centro","-86.7481","21.25765",650,233,101,25,16,17
29,"Butcher & Sons","cerveza","13:00 - 11:00","4"," **N.º 177** de 4,990 Restaurantes en Ciudad de México","Certificado de ExcelenciaGanador en 2016, 2018 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d3419221-Reviews-Butcher_Sons-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","40","35","40","$4,678 - $9,356","Estadounidense, Bar","Almuerzo, Cena, Abierto hasta tarde, Bebidas","-","-","Calle Virgilio 8, Ciudad de México 11540 México","alfredo@butcherandsons.com","+52 55 5280 4247","Calle Virgilio 8","México","Ciudad de México 11540,","","-99.197205","19.430414",473,176,159,59,16,18
30,"Shooters Restaurant Sports Bar & Grill","cerveza","10:00 - 23:00","4"," **N.º 47** de 188 Mexicana en San José Del Cabo","Certificado de ExcelenciaGanador en 2016 - 2018","https://www.tripadvisor.com.mx//Restaurant_Review-g152516-d1201962-Reviews-Shooters_Restaurant_Sports_Bar_Grill-San_Jose_del_Cabo_Los_Cabos_Baja_California.html","40","40","45","45","-","Mexicana, Estadounidense, Bar, Pub","Desayuno, Almuerzo, Cena, Brunch, Abierto hasta tarde, Bebidas","Apto para vegetarianos","-","Calle Manuel Doblado Boulevard Mijares, San José Del Cabo 23400 México","info@shootersbar.com","+52 624 146 9900","Calle Manuel Doblado","México","San José Del Cabo 23400,","Boulevard Mijares","-109.694191","23.061474",705,257,174,62,24,17
31,"Burrito Amor","cerveza","Ver todos los horarios","4.5"," **N.º 24** de 283 Mexicana en Tulum","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150813-d7617975-Reviews-Burrito_Amor-Tulum_Yucatan_Peninsula.html","45","45","45","50","-","Mexicana, Latina, Centroamericana","Desayuno, Almuerzo, Cena, Brunch","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Avenida Tulum Main road - On the Way Heading Out of Town Toward Chetumal,
Tulum 77760 México","Burritoamortulum@gmail.com","+52 984 160 2989","Avenida Tulum","México","Tulum 77760,","Main road - On the Way Heading Out of Town Toward Chetumal","-87.468117","20.209621",1015,220,68,28,16,12
32,"La Federal Reforma","cerveza","","3.5","**N.º 830** de 2,111 Mexicana en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d8821492-Reviews-La_Federal_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","40","40","0","$150 - $450","Mexicana, Latina, Española","-","-","Reservaciones, Servicio de mesa, Asiento, Sirve alcohol","Calle Rio Lerma No. 16 Esq. Rio Neva Col. Cuauhtemoc, Ciudad de México 06500
México","","+(52)55 46 16 43","Calle Rio Lerma No. 16","México","Ciudad de México 06500,","Esq. Rio Neva Col. Cuauhtemoc","-99.162399","19.431513",42,11,15,4,3,4
33,"The Restaurant at Zamas","cerveza","7:30 - 22:00","4"," **N.º 58** de 283 Mexicana en Tulum","Certificado de ExcelenciaGanador en 2016 - 2018","https://www.tripadvisor.com.mx//Restaurant_Review-g150813-d1941172-Reviews-The_Restaurant_at_Zamas-Tulum_Yucatan_Peninsula.html","40","40","40","45","-","Mexicana, Caribeña, Latina, Bar, Internacional, Centroamericana","Brunch, Bebidas, Almuerzo, Desayuno, Cena","Apto para vegetarianos, Opciones sin gluten","-","Carretera Tulum-Boca Paila Km 5, Tulum 77780 México","info@zamas.com","+52 984 145 2602","Carretera Tulum-Boca Paila","México","Tulum 77780,","Km 5","-87.446747","20.175568",522,180,104,39,13,7
34,"Cafe de Tacuba","cerveza","8:00 - 23:30","4"," **N.º 76** de 2,111 Mexicana en Ciudad de México","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d1006657-Reviews-Cafe_de_Tacuba-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","40","40","45","-","Mexicana, Latina","Desayuno, Almuerzo, Cena, Brunch, Abierto hasta tarde","Apto para vegetarianos, Opciones veganas","-","Calle Tacuba #28 col. Centro de la Ciudad de Mexico Area 2 del, Cuauhtemoc
c.p. 06010 cdmx Colonia Centro Historico, Ciudad de México 01600 México","jcarrera@cafedetacuba.com.mx","+52 55 5518 4950","Calle Tacuba #28 col. Centro de la Ciudad de Mexico Area 2 del, Cuauhtemoc
c.p. 06010 cdmx","México","Ciudad de México 01600,","Colonia Centro Historico","-99.137589","19.435696",4315,1600,1197,475,154,69
35,"Dulce Patria en Las Alcobas","cerveza","13:30 - 23:30","4.5"," **N.º 34** de 2,111 Mexicana en Ciudad de México","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d1998421-Reviews-Dulce_Patria_en_Las_Alcobas-Mexico_City_Central_Mexico_and_Gulf_Coast.html","45","45","40","45","$11,695 - $11,695","Mexicana, Latina","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Anatole France 100 Col. Polanco, Ciudad de México México","","+52 55 3300 3999","Anatole France 100","México","Ciudad de México,","Col. Polanco","-99.197578","19.43144",1382,711,207,96,32,22
36,"Puerto Madero Polanco","cerveza","13:00 - 1:00","4.5"," **N.º 17** de 365 Mariscos en Ciudad de México","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d814861-Reviews-Puerto_Madero_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html","45","45","35","40","-","Mariscos, Argentina, Internacional, Parrilla, Contemporánea","Almuerzo, Cena, Abierto hasta tarde, Bebidas","Apto para vegetarianos, Opciones sin gluten","-","Avenida Presidente Masaryk 110, Ciudad de México 11560 México","grupos.polanco@puertomaderorestaurantes.com","+52 55 5545 6098","Avenida Presidente Masaryk 110","México","Ciudad de México 11560,","","-99.185738","19.431408",1062,457,283,83,39,22
37,"Carbon y Vino","cerveza","12:00 - 20:00","4.5"," **N.º 1** de 2 Churrasquería en Texcoco","-","https://www.tripadvisor.com.mx//Restaurant_Review-g2640759-d7270198-Reviews-Carbon_y_Vino-Texcoco_Central_Mexico_and_Gulf_Coast.html","40","40","40","0","$130 - $380","Churrasquería, Comida rápida, Parrilla","Brunch, Almuerzo, Cena","-","-","Calle Emiliano Zapata 317 Santa Ursula, Texcoco 56150 México","carbonyvinotexcoco@gmail.com","+52 595 954 7762","Calle Emiliano Zapata 317","México","Texcoco 56150,","Santa Ursula","-98.891418","19.506445",40,21,11,6,1,1
38,"Cancino Cibeles.","cerveza","13:30 - 0:00","4"," **N.º 11** de 425 Italiana en Ciudad de México","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d6903154-Reviews-Cancino_Cibeles-Mexico_City_Central_Mexico_and_Gulf_Coast.html","45","40","40","0","-","Italiana, Pizzería","Almuerzo, Cena","Apto para vegetarianos, Opciones veganas","-","Roma Norte, Roma Nte., 06700 Ciudad de Mexico, CDMX Avenida Plaza Villa Madrid
17, Ciudad de México 06700 México","contacto@archipielagocorp.com","+52 1 55 6414 0655","Roma Norte, Roma Nte., 06700 Ciudad de Mexico, CDMX Avenida Plaza Villa Madrid
17","México","Ciudad de México 06700,","","-99.166786","19.420305",190,87,47,10,3,11
39,"Wingstop Mèxico","cerveza","","3.5","**N.º 1,217** de 2,111 Mexicana en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d9884884-Reviews-Wingstop_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","$124 - $245","Mexicana, Bar, Pub","Cena","-","-","Calle Liverpool 149 Col. Juarez, Del. Cuauhtemoc, Ciudad de México 06600
México","contactanos@wingstop.com.mx","","Calle Liverpool 149","México","Ciudad de México 06600,","Col. Juarez, Del. Cuauhtemoc","-99.164703","19.424179",32,5,7,6,2,3
40,"Nohoch Kay","cerveza","7:00 - 22:00","4.5"," **N.º 6** de 51 Mexicana en Mahahual","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g499450-d7827188-Reviews-Nohoch_Kay_Beach_Club-Mahahual_Costa_Maya_Yucatan_Peninsula.html","50","45","50","50","-","Mexicana, Caribeña, Latina, Mariscos","Almuerzo, Cena, Brunch, Abierto hasta tarde","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Av Mahahual 101, Mahahual 77976 México","reservacionesnohochkay@outlook.com","+52 983 122 7293","Av Mahahual 101","México","Mahahual 77976,","","-87.709381","18.713831",1259,703,153,28,9,12
41,"Restaurante Ole!!","cerveza","Ver todos los horarios","5"," **N.º 1** de 3 Mediterránea en Ocotlán","-","https://www.tripadvisor.com.mx//Restaurant_Review-g1602409-d6641567-Reviews-Restaurante_Ole-Ocotlan.html","50","50","50","0","$40 - $250","Mediterránea, Española, Europea, Fusión","Almuerzo, Abierto hasta tarde, Bebidas, Cena","-","-","Calle Madero 64 Centro, Ocotlán 47800 México","","+52 1144660","Calle Madero 64","México","Ocotlán 47800,","Centro","-102.773392","20.347178",36,28,5,2,0,0
42,"La Cevicheria","cerveza","","5","**N.º 14** de 184 Restaurantes en Veracruz","Certificado de ExcelenciaGanador en 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150804-d12377731-Reviews-La_Cevicheria-Veracruz_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","$100 - $200","Mariscos","Cena","-","-","Calle Paseo Insurgentes Veracruzanos O Paseo Del Malecon 244, Veracruz 91709
México","veracruz.reservacion@hotelesemporio.com","+52 229 989 3300","Calle Paseo Insurgentes Veracruzanos O Paseo Del Malecon 244","México","Veracruz 91709,","","-96.134377","19.201675",43,36,3,1,0,0
