Id,Nombre,Razon_social,Clase_actividad,Estrato,Tipo_vialidad,Calle,Num_Exterior,Num_Interior,Colonia,CP,Ubicacion,Telefono,Correo_e,Sitio_internet,Tipo,Longitud,Latitud,CentroComercial,TipoCentroComercial,NumLocal,tipo_corredor_industrial,nom_corredor_industrial,numero_local
9147495,SEID VENTA DE COMPONENTES PARA LA INDUSTRIA ELECTRÓNICA,,"Comercio al por menor de partes y refacciones usadas para automóviles, camionetas y camiones",0 a 5 personas,CALLE,REPUBLICA DEL SALVADOR,17,16,CENTR0,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,WWW.SEIDAATT.NET.MX,Fijo,-99.14028720,19.43008019,SIN NOMBRE,PASAJE Y ANDADOR COMERCIAL,16,,,
9197832,REPARACIÓN DE BOCINAS,,Otros servicios de reparación y mantenimiento de automóviles y camiones,0 a 5 personas,CALLE,MESONES,16,1,CENTR0,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",5540486574,,,Fijo,-99.13970428,19.42889169,MESONES LA VECINDAD,EDIFICIO COMERCIAL Y DE SERVICIOS,1,,,
891666,HIFONICS,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,CALLE,ALDACO,15,,CENTRO (AREA 1),06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.13997164,19.42918302,EDIFICIO ALDACO 15,EDIFICIO COMERCIAL Y DE SERVICIOS,7,,,
9191914,JC AUDIO,JC AUDIO SA DE CV,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,CALLE,ALDACO,15,,CENTRO (AREA 1),06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",5555129268,,,Fijo,-99.13997164,19.42918302,EDIFICIO ALDACO 15,EDIFICIO COMERCIAL Y DE SERVICIOS,8,,,
891673,ELECTRÓNICA MASSO,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",11 a 30 personas,CALLE,ALDACO,15,,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",5555126198,,,Fijo,-99.13997436,19.42914560,,,,,,
6728467,REMO MOTOS,REMO MOTOS SA DE CV,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",6 a 10 personas,AVENIDA,SAN PABLO,6,,CENTR0,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,REMOMOTOSMEXICO.COM,Fijo,-99.12934316,19.42622664,,,,,,
1014716,SISTEMAS Y COMPONENTES DIGOGA,,"Comercio al por menor de partes y refacciones usadas para automóviles, camionetas y camiones",0 a 5 personas,CALLE,REPUBLICA DEL SALVADOR,17,15,CENTR0,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",5555101110,,,Fijo,-99.14049089,19.43010995,,,,,,
889655,PUESTO DE PERIODICO MAGI,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,CALLE,JUAN JOSE BAZ,11,,CENTRO (ÁREA 9),06090,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Semifijo,-99.12766674,19.42739735,,,,,,
1016186,DIAMAT GRUOP WORLD AUDIO,DIAMAT GRUOP WORLD AUDIO SA DE CV,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",6 a 10 personas,CALLE,VIZCAINAS,28,,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14002780,19.42894862,,,,,,
7825019,DIAMANT GROUP WORLD AUDIO,DIAMANT GROUP WORLD AUDIO ,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",11 a 30 personas,CALLE,MEAVE,21,,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14050880,19.42946328,,,,,,
891644,DIAMAN GROUP WORLD AUDIO,DIAMAN GROUP WORLD AUDIO SA,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",6 a 10 personas,CALLE,MEAVE,21,,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14053101,19.42946374,,,,,,
9190780,CORPORATIVO MAGIC CAR,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,CALLE,MEAVE,19,0,CENTRO (AREA 1),06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",5584143345,,,Fijo,-99.14057059,19.42946455,,,,,,
8343632,APCHOT CENTER,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,CALLE,MEAVE,15,,CENTRO (AREA 1),06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14065209,19.42946624,PLAZA DE ACCESORIOS TECNOLOGICO,CENTRO Y PLAZA COMERCIAL,28 Y 30,,,
9193569,ILUMINACIÓN DE AUTO,ILUMINACION DE AUTO ,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,CALLE,MEAVE,15,,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14065209,19.42946624,PLAZA DE ACCESORIOS TECNOLOGICO,CENTRO Y PLAZA COMERCIAL,23 24,,,
9124026,SERVICIO ESPECIALIZADO EN MICRO ELECTRÓNICA,,Otros servicios de reparación y mantenimiento de automóviles y camiones,0 a 5 personas,CALLE,MEAVE,15,,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14065209,19.42946624,PLAZA DE ACCESORIOS TECNOLOGICO,CENTRO Y PLAZA COMERCIAL,37,,,
1017761,REPARACIÓN DE BOCINAS CARLOS Y DANIEL,,Otros servicios de reparación y mantenimiento de automóviles y camiones,0 a 5 personas,CALLE,ECHEVESTE,5,0,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",5557090109,,,Fijo,-99.13985882,19.42812887,,,,,,
1017721,ELECTRÓNICA GÉMINIS,,Otros servicios de reparación y mantenimiento de automóviles y camiones,0 a 5 personas,CALLE,ECHEVESTE,5,0,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",5516878644,,,Fijo,-99.13995675,19.42813906,,,,,,
891681,REPARACIÓN DE BOCINAS Y AUTOESTÉREOS,,Otros servicios de reparación y mantenimiento de automóviles y camiones,0 a 5 personas,CALLE,VIZCAINAS,14,,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14079355,19.42901254,VIZCAINAS,EDIFICIO COMERCIAL Y DE SERVICIOS,4,,,
8529705,CAR SISTEM,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,CALLE,MEAVE,0,0,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14112025,19.42947591,,,,,,
7757487,LA GÜERA PONCE,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,CALLE,MEAVE,,,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Semifijo,-99.14121458,19.42947785,,,,,,
9006714,MAGIC CAR SISTEM,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,CALLE,MEAVE,0,0,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14123800,19.42947834,,,,,,
9084511,ESTACIONAMIENTO PUBLICO,ADMINISTRACIÓN Y SERVICIOS DE ESTACIONEMIENTO ,Otros servicios de reparación y mantenimiento de automóviles y camiones,0 a 5 personas,CALLE,NEZAHUALCOYOTL,110,,CENTR0,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.13726854,19.42532186,,,,,,
992814,CAR MASTER SA DE CV,CAR MASTER SA DE CV,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,CALLE,VICTORIA,12,,CENTRO,06050,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14188687,19.43121015,,,,,,
8616406,STATUS,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,CALLE,VIZCAINAS,10,3,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14116677,19.42904369,,,,,,
9182077,TALLER DE HERRERIA,,Hojalatería y pintura de automóviles y camiones,0 a 5 personas,CALLE,5 DE FEBRERO,106,,CENTR0,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.13544640,19.42446321,,,,,,
1015960,ELECTRÓNICA REYES,,"Comercio al por menor de partes y refacciones usadas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,E63,,,
9078349,VENTA DE CAJONES BOCINAS Y SERVICIO DE CABLEADO,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,A051,,,
1016098,CAR AUDIO,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,82,CENTRO (AREA 1),06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",5562937053,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,B-06 B-07,,,
1015999,MAXIMUS BASS,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,C23,,,
1015917,VENTA DE AUDIO PARA AUTOS,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,0,CENTRO (AREA 1),06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",5555122745,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,F1 2 3,,,
9096337,MAGIC CAR,MAGIC CAR ,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,0,CENTRO (AREA 1),06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,A-29,,,
1016118,GRIMAR,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,,CENTRO (AREA 1),06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",5555126841,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,8082,,,
1016009,GRISMAR,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,,CENTRO (AREA 1),06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",5549816410,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,D20,,,
1016110,VENTA DE ELECTRÓNICA,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,,CENTRO (AREA 1),06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,SN,,,
9133503,KITCARMEAVE,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,,CENTRO (AREA 1),06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,A 53 54,,,
1016159,ELECTRÓNICA LEO,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,E-032,,,
1016042,ELECTRÓNICA MARIALEX,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,0,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",5555122889,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,C43,,,
8343635,MAGIC CAR SISTEM,MAGIC CAR SISTEM ,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,0,CENTRO (AREA 1),06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,LOCAL D19 20 21,,,
891686,VENTA DE BOCINAS Y ESTÉREOS,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,SN,,,
1016082,VENTA DE AUDIO,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,82,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,82,,,
9099057,GRISMAR,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,,CENTRO (AREA 1),06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,A18 A19 A48,,,
7757475,HERMANOS RODRIGUEZ,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,0,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,E031,,,
1015920,REPARACIÓN Y VENTA DE MÓDULOS PARA AUTO,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,,CENTRO (AREA 1),06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,F4,,,
1016096,SIN NOMBRE AUTO ESTÉREO,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,82,CENTRO (AREA 1),06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,B 003,,,
1016080,CARS ROCK,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,82,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,82,,,
891691,VENTA DE ACCESORIOS PARA AUTO,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,,CENTRO (AREA 1),06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,E29,,,
891881,VENTA DE BOCINAS,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,,CENTRO (AREA 1),06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,A 020,,,
1015991,MARY S ACCESORIOS,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,0,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,C-011 Y C-012,,,
1016081,CAR AUDIO MEXICO,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,82,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,82,,,
8385715,SIN NOMBRE VENTA DE BOCINAS,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,,CENTRO (AREA 1),06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,A07,,,
1016170,SOLO POTENCIA,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,,CENTRO (AREA 1),06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,8082,,,
1015997,ELECTRÓNICA ESPARZA,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,0,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,C-020,,,
1015998,EL GALLO,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,0,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,C24,,,
9113041,VENTA DE AUTOESTÉREOS,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,,CENTRO (AREA 1),06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,SN,,,
1015989,EQUIPOS MEDINA,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,C8,,,
891684,VENTA DE ACCESORIOS PARA AUTO,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,,CENTRO (AREA 1),06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,8082,,,
1016064,SIN NOMBRE ELECTRÓNICA,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,82,CENTRO (AREA 1),06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,JFAGUIRRE05@OUTLOOK.COM,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,82,,,
1016168,GRISMAR,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,,CENTRO (AREA 1),06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,B35 Y B36,,,
1016050,ESTÉREOS Y BOCINAS EL GALLO,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,0,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,C 54- C-55 C-56,,,
1015918,AUDIO ART,,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),8082,,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14142532,19.42943351,PLAZA MEAVE,CENTRO Y PLAZA COMERCIAL,F1,,,
